日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-08-26,=5634.0400,=11697.0300,=21032107942415.8398,=15076687596787,=4584097422274.7461,=0.8317,=0.4189,=1.1296,=0.9013,=0.7113
2025-08-25,=5640.4800,=11710.4100,=21099409737888.1172,=15118203604994,=4602975087306.2822,=0.8345,=0.4246,=1.1296,=0.9019,=0.7113
2025-08-22,=5599.4000,=11625.1200,=21030099706361.5586,=15057889240409,=4569720587727.7100,=0.8321,=0.4195,=1.1304,=0.9035,=0.7113
2025-08-21,=5609.2000,=11642.8500,=21015613515530.0469,=15040601992638,=4562452162550.4092,=0.8319,=0.4189,=1.1304,=0.9037,=0.7113
2025-08-20,=5579.2700,=11580.7300,=20828794425250.3516,=14904081589284,=4534940293399.5078,=0.8245,=0.4090,=1.1307,=0.9039,=0.7113
2025-08-19,=5537.4500,=11493.9400,=20681358853874.1211,=14789591304306,=4500258489680.4209,=0.8187,=0.4012,=1.1309,=0.9040,=0.7113
2025-08-18,=5542.7600,=11504.9400,=20641923707988.9492,=14767052215717,=4511854281403.7080,=0.8172,=0.3995,=1.1311,=0.9044,=0.7113
2025-08-15,=5553.4200,=11527.0700,=20619415127280.6406,=14738874237371,=4511338458873.3994,=0.8163,=0.3985,=1.1313,=0.9050,=0.7113
2025-08-14,=5540.1300,=11499.4900,=20854635838184.7734,=14881439131755,=4546072300042.5049,=0.8256,=0.4106,=1.1313,=0.9050,=0.7113
2025-08-13,=5593.7000,=11610.6900,=20833004443621.7383,=14869735429522,=4547280181466.2979,=0.8247,=0.4086,=1.1320,=0.9051,=0.7113
2025-08-12,=5623.0400,=11670.8500,=21013562048859.6289,=14981271206227,=4580395685776.0781,=0.8319,=0.4164,=1.1325,=0.9053,=0.7113
2025-08-11,=5591.7000,=11605.7800,=20849520265726.1289,=14856029393483,=4558587675124.8906,=0.8254,=0.4098,=1.1331,=0.9055,=0.7113
2025-08-08,=5615.6100,=11655.4200,=21033871104370.1289,=14976630282614,=4592758857905.6064,=0.8327,=0.4162,=1.1341,=0.9058,=0.7113
2025-08-07,=5612.6800,=11649.3300,=21044888651469.6406,=14970219697333,=4589211694170.4258,=0.8331,=0.4172,=1.1341,=0.9059,=0.7113
2025-08-06,=5603.2000,=11629.6700,=20908205869534.6992,=14872730986699,=4573548815500.5215,=0.8277,=0.4114,=1.1343,=0.9064,=0.7113
2025-08-05,=5567.8800,=11556.3600,=20865378580090.6406,=14820175809130,=4567257861692.8867,=0.8260,=0.4098,=1.1344,=0.9068,=0.7113
2025-08-04,=5510.3400,=11431.9100,=20587028816667.6172,=14611604318704,=4502345149598.6787,=0.8150,=0.3974,=1.1345,=0.9070,=0.7113
2025-08-01,=5484.5900,=11378.4900,=20464088220789.1484,=14540820955524,=4479525477217.3818,=0.8101,=0.3923,=1.1353,=0.9073,=0.7113
2025-07-31,=5484.7100,=11378.7400,=20563388985257.4883,=14620168636002,=4489375481939.4766,=0.8140,=0.3958,=1.1353,=0.9074,=0.7113
2025-07-30,=5581.4800,=11579.4900,=20616609092576.9570,=14684726243543,=4546502071428.9678,=0.8161,=0.3970,=1.1354,=0.9074,=0.7113
2025-07-29,=5570.4600,=11549.0300,=20418761305095.3906,=14545429390596,=4510988928893.8604,=0.8082,=0.3888,=1.1357,=0.9080,=0.7113
2025-07-28,=5572.5300,=11553.3300,=20525302067911.1836,=14599097746722,=4542274877343.8271,=0.8124,=0.3937,=1.1358,=0.9081,=0.7113
2025-07-25,=5633.8300,=11672.8300,=20567408553947.3867,=14650670659197,=4546280544565.9824,=0.8140,=0.3944,=1.1370,=0.9086,=0.7113
2025-07-24,=5670.7500,=11741.6800,=20715308461863.8047,=14763518105712,=4582577912058.1377,=0.8197,=0.3979,=1.1370,=0.9088,=0.7113
2025-07-23,=5647.0900,=11690.2500,=20896469030243.5898,=14882345756858,=4608099769150.2275,=0.8267,=0.4069,=1.1374,=0.9092,=0.7113
2025-07-22,=5667.6100,=11728.7900,=20809162277375.3828,=14833652895290,=4599714464453.7285,=0.8232,=0.4024,=1.1376,=0.9094,=0.7113
2025-07-21,=5575.8700,=11538.9300,=20837619189907.4336,=14813860682021,=4589406644214.7461,=0.8243,=0.4036,=1.1377,=0.9095,=0.7113
2025-07-18,=5506.7400,=11395.8800,=20850530104732.9531,=14799823005410,=4581771210908.7559,=0.8248,=0.4043,=1.1380,=0.9098,=0.7113
2025-07-17,=5487.8900,=11342.1900,=20748875933917.9766,=14717125236210,=4559035418861.0303,=0.8207,=0.3999,=1.1380,=0.9099,=0.7113
2025-07-16,=5492.6000,=11344.8800,=20890025443296.7578,=14824886092733,=4574494601107.0859,=0.8241,=0.4020,=1.1380,=0.9101,=0.7113
2025-07-15,=5516.3300,=11385.2900,=20944449649111.9141,=14877246453784,=4600499425747.9033,=0.8262,=0.4044,=1.1381,=0.9106,=0.7113
2025-07-14,=5581.2100,=11512.0100,=21077036773572.5586,=14968576679673,=4635412412623.4072,=0.8314,=0.4086,=1.1381,=0.9108,=0.7113
2025-07-11,=5553.9700,=11444.1100,=20971437763677.0859,=14879606566848,=4610577118297.9531,=0.8252,=0.4039,=1.1387,=0.9114,=0.7113
2025-07-10,=5594.9200,=11508.4200,=21185933069933.3984,=15021376568633,=4655526473364.8057,=0.8334,=0.4098,=1.1387,=0.9118,=0.7113
2025-07-09,=5560.3200,=11422.3800,=20976896030356.2344,=14866518106343,=4618804274761.4629,=0.8246,=0.4032,=1.1390,=0.9122,=0.7113
2025-07-08,=5542.3500,=11380.9800,=20876211203268.8047,=14804533525929,=4615613497356.5645,=0.8206,=0.3995,=1.1391,=0.9122,=0.7113
2025-07-07,=5545.0800,=11386.5800,=20869477653148.1523,=14799588795908,=4622908983432.3115,=0.8203,=0.3987,=1.1394,=0.9124,=0.7113
2025-07-04,=5520.9400,=11329.1300,=20906926394017.3711,=14819397668889,=4618415837137.6787,=0.8204,=0.3985,=1.1395,=0.9134,=0.7113
2025-07-03,=5493.1300,=11267.0100,=20633211986518.8750,=14627211432483,=4554009512680.9736,=0.8096,=0.3913,=1.1395,=0.9134,=0.7113
2025-07-02,=5493.4700,=11261.0800,=20711978811952.8555,=14671592594288,=4554218361632.9834,=0.8127,=0.3933,=1.1399,=0.9135,=0.7113
